Fiscal Year,Area,Subsidiary,Product,Reported Subsegment,Forecast Planning Level,1,2,3,4,5,6,7,8,9,10,11,12,,,,
FY19,WE,Austria,SharePoint CAL,EPG Commercial,EA Add-On,,,,,,,,,,,,170.8249,,,,
FY19,WE,Austria,SharePoint for Internet Sites,EPG Commercial,EA Add-On,,,,,,43401.36,,,,,10850.34,2962.6166,,,,
FY19,WE,Austria,SharePoint Server,EPG Commercial,EA Add-On,,,,,11933.46,60672.82,,,,,,7602.5725,,,,
FY19,WE,Austria,SQL Server Premium,EPG Commercial,EA Add-On,,,,,25914.816,694408.6762,223.102,,33423.4272,9005.088,106062.613,130310.9952,,,,
FY19,WE,Austria,SQL Server Standard & CAL,EPG Commercial,EA Add-On,,18194.22,3108.3774,,61479.228,177947.5696,24918.2622,,44448.668,15458.252,1759.176,362681.3567,,,,
FY19,WE,Austria,System Center Client,EPG Commercial,EA Add-On,4862.52,-4862.52,,,1426.0202,16104.0965,8903.6309,,1980.5526,,17.6658,14910.527,,,,
FY19,WE,Austria,System Center Server,EPG Commercial,EA Add-On,-277.7934,906.6,,,30314.6126,20825.6815,,,80386.9591,,1333.2936,237952.7196,,,,
FY19,WE,Austria,Visio,EPG Commercial,EA Add-On,2195.1,1999.68,2129.46,3313.86,11759.46,74900.32,439.1619,249.96,13221.456,487.8,3270.5664,171083.8561,,,,
FY19,WE,Austria,Windows Client,EPG Commercial,EA Add-On,,5008.932,2031.0813,,20334.4945,174665.1019,37722.5211,,21100.3447,8745.7112,391.104,241115.8117,,,,
FY19,WE,Austria,Windows Server & Solutions & CAL,EPG Commercial,EA Add-On,12241.32,4754.16,,,58071.72,88092.2646,789.57,,11960.088,13233.168,13179.72,55563.0609,,,,
FY19,WE,Austria,Windows Server Other,EPG Commercial,EA Add-On,-4746,7593.6,5510.4,,32678.4,23921.378,1786.0699,,21746.4671,,26628,22248.027,,,,
FY19,WE,Austria,Windows Server Premium,EPG Commercial,EA Add-On,1713.12,-0.0007,,,35356.7194,332738.1349,,,93401.5138,10602.72,57403.1946,114805.3535,,,,
FY19,WE,Austria,Developer Tools,EPG Commercial,EA New,,1339.7253,,,,,,,,,,31635.2919,,,,
FY19,WE,Austria,Exchange Server & CAL,EPG Commercial,EA New,,,,,,,,,1188.9482,,,385.1377,,,,
FY19,WE,Austria,IW CAL Suites - Core CAL,EPG Commercial,EA New,,954.2944,,,,0.0001,,,,,,,,,,
FY19,WE,Austria,Lync Server & CAL,EPG Commercial,EA New,,7.3234,,,,,,,124.4321,,,238.8491,,,,
FY19,WE,Austria,MDOP-Client,EPG Commercial,EA New,,27.81,,,,,,,,,,,,,,
FY19,WE,Austria,Office,EPG Commercial,EA New,,3517.3325,,,,,,,,,,576000,,,,
FY19,WE,Austria,Project,EPG Commercial,EA New,,296.5588,,,,,,,,,,70204.52,,,,
FY19,WE,Austria,S&T CAL Suites - Core CAL,EPG Commercial,EA New,,536.7906,,,,-0.0001,,,,,,,,,,
FY19,WE,Austria,SharePoint for Internet Sites,EPG Commercial,EA New,,,,,,,,,3701.22,,,103.6447,,,,
FY19,WE,Austria,SharePoint Server,EPG Commercial,EA New,,50.9897,,,,,,,-1975.8552,,,1273.5933,,,,
FY19,WE,Austria,SQL Server Premium,EPG Commercial,EA New,,,,1498.8,,,,,-758.7576,,,47763.5745,,,,
FY19,WE,Austria,SQL Server Standard & CAL,EPG Commercial,EA New,,,,7519.4,,,,,1088.9442,,,346508.7323,,,,
FY19,WE,Austria,System Center Client,EPG Commercial,EA New,,110.9737,,,,,,,637.5204,,,32.2005,,,,
FY19,WE,Austria,System Center Server,EPG Commercial,EA New,,5.9928,,,,,,,33378.227,,25550.144,245495.9512,,,,
FY19,WE,Austria,Visio,EPG Commercial,EA New,,142.5894,,,,,,,,,,22253,,,,
FY19,WE,Austria,Windows Client,EPG Commercial,EA New,,1191.8363,,,,,,,,,,,,,,
FY19,WE,Austria,Windows Server & Solutions & CAL,EPG Commercial,EA New,,7.508,,,,,,,5265.2193,,,138830.8308,,,,
FY19,WE,Austria,Windows Server Other,EPG Commercial,EA New,,350.276,,,,,,,,,,191.3,,,,
FY19,WE,Austria,Windows Server Premium,EPG Commercial,EA New,,317.6748,,,,,,,45665.0848,,26337.726,448208.4126,,,,
FY19,WE,Austria,Biztalk Server,EPG Commercial,EA Recurring,,,,,,2311.0021,118685.036,,-882.54,65317.759,42599.9129,,,,,
FY19,WE,Austria,Developer Tools,EPG Commercial,EA Recurring,30802.7157,,2075.51,33689.356,8562.78,15603.9307,427946.76,1569.76,5042.64,72106.5842,84566.5953,62101.0671,,,,
FY19,WE,Austria,Dynamics CRM,EPG Commercial,EA Recurring,15075.936,,,,,3230.8466,21095.18,,,,1844.0452,,,,,
FY19,WE,Austria,Exchange Server & CAL,EPG Commercial,EA Recurring,35211.97,828.24,1616.54,18622.704,687.44,19233.4269,66429.4862,2567.51,8393.32,24733.6869,10963.4017,7621.3382,,,,
FY19,WE,Austria,Forefront Protection,EPG Commercial,EA Recurring,-1315.44,,,,,,21185.04,5672.4,,,,,,,,
FY19,WE,Austria,Identity & Direct Access,EPG Commercial,EA Recurring,4679.172,1179,184.65,10064.93,222.42,1776.5468,28942.8381,1741.72,1371.6,9681.5701,1838.6683,7632.528,,,,
