Fiscal Year,Area,Subsidiary,Product,Reported Subsegment,Forecast Planning Level,1,2,3,4,5,6,7,8,9,10,11,12,,,,
FY19,CEE,Czech Republic,Identity & Direct Access,EPG Commercial,EA Subscription Recurring,,11435.9313,,,,3242.3062,,63854.2802,,,,,,,,
FY19,CEE,Czech Republic,IW CAL Suites - Core CAL,EPG Commercial,EA Subscription Recurring,,108262.1615,,,,306591.6752,,12251.85,,,,,,,,
FY19,CEE,Czech Republic,IW CAL Suites - ECAL,EPG Commercial,EA Subscription Recurring,5494.7516,,,,,,,,,,,64888.5721,,,,
FY19,CEE,Czech Republic,Lync Server & CAL,EPG Commercial,EA Subscription Recurring,,,,,,36496.6178,,33141.4649,,,,,,,,
FY19,CEE,Czech Republic,MDOP-Client,EPG Commercial,EA Subscription Recurring,85.3815,5713.1477,,,,5526.6864,,1.8506,,,,1005.4125,,,,
FY19,CEE,Czech Republic,Office,EPG Commercial,EA Subscription Recurring,9149.6851,495304.2835,,,,376741.823,,,,,,112868.2532,,,,
FY19,CEE,Czech Republic,Other Server,EPG Commercial,EA Subscription Recurring,,,,,,1838.0151,,,,,,,,,,
FY19,CEE,Czech Republic,Project,EPG Commercial,EA Subscription Recurring,1458.3607,98309.0692,,,,50235.2263,,,,,,10319.3998,,,,
FY19,CEE,Czech Republic,S&T CAL Suites - Core CAL,EPG Commercial,EA Subscription Recurring,,60897.4659,,,,172457.8173,,6891.6656,,,,,,,,
FY19,CEE,Czech Republic,S&T CAL Suites - ECAL,EPG Commercial,EA Subscription Recurring,2616.7802,,,,,,,,,,,30902.0569,,,,
FY19,CEE,Czech Republic,SharePoint CAL,EPG Commercial,EA Subscription Recurring,,,,,,2751.4421,,,,,,,,,,
FY19,CEE,Czech Republic,SharePoint for Internet Sites,EPG Commercial,EA Subscription Recurring,,6379.0023,,,,,,,,,,,,,,
FY19,CEE,Czech Republic,SharePoint Server,EPG Commercial,EA Subscription Recurring,,6072.866,,,,5307.8245,,663.4781,,,,,,,,
FY19,CEE,Czech Republic,SQL Server Premium,EPG Commercial,EA Subscription Recurring,,453405.0468,,,,,,,,,,,,,,
FY19,CEE,Czech Republic,SQL Server Standard & CAL,EPG Commercial,EA Subscription Recurring,,126753.3837,,,,,,,,,,,,,,
FY19,CEE,Czech Republic,System Center Client,EPG Commercial,EA Subscription Recurring,340.709,22797.9195,,,,22389.1079,,9.876,,,,4012.0287,,,,
FY19,CEE,Czech Republic,System Center Server,EPG Commercial,EA Subscription Recurring,,4637.8664,,,,17705.421,,,,,,,,,,
FY19,CEE,Czech Republic,Visio,EPG Commercial,EA Subscription Recurring,565.3234,41496.9102,,,,25587.0359,,,,,,1199.5217,,,,
FY19,CEE,Czech Republic,Windows Client,EPG Commercial,EA Subscription Recurring,3659.1499,261825.9161,,,,236936.2745,,2772.1858,,,,43088.419,,,,
FY19,CEE,Czech Republic,Windows Server & Solutions & CAL,EPG Commercial,EA Subscription Recurring,1359.3689,70782.1155,,,,28512.4094,,4298.5143,,,,,,,,
FY19,CEE,Czech Republic,Windows Server Other,EPG Commercial,EA Subscription Recurring,,23786.5025,,,,5.6735,,7.1047,,,,,,,,
FY19,CEE,Czech Republic,Windows Server Premium,EPG Commercial,EA Subscription Recurring,,103941.5893,,,,84690.4258,,1587.4177,,,,,,,,
FY19,CEE,Czech Republic,Dynamics CRM,EPG Commercial,Online Services,6329.5758,7616.7381,-3497.5765,7945.1516,9207.6542,9258.5524,845.2528,5402.2318,9270.4497,9282.0017,9377.2028,9377.2022,,,,
FY19,CEE,Czech Republic,Office 365,EPG Commercial,Online Services,706.078,1219.1651,608.8669,653.4791,924.6928,858.7562,808.1105,593.2874,1203.6405,197.0237,270.7649,255.9389,,,,
FY19,CEE,Czech Republic,SQL Azure,EPG Commercial,Online Services,10.2165,8.1043,,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Dynamics ERP,EPG Commercial,Other Annuity,6797.3247,7111.8601,20149.0488,2606.5005,567.1262,,,4537.6917,4568.7572,,10605.2969,16034.7516,,,,
FY19,CEE,Czech Republic,Dynamics ERP,EPG Commercial,Other Non-Annuity,,,,,,,,,,,16216.2019,,,,,
FY19,CEE,Czech Republic,SharePoint CAL,EPG Commercial,Other Non-Annuity,,16158.52,,25520.1,4338.3,,,5428,,,,,,,,
FY19,CEE,Czech Republic,Developer Tools,EPG Commercial,VL Annuity Non-Recur w/o EA,953.5671,,,,13158.6826,11462.9203,,13165.8202,,4386.2301,,,,,,
FY19,CEE,Czech Republic,Dynamics CRM,EPG Commercial,VL Annuity Non-Recur w/o EA,-4477.1325,4870.9918,,,,,,,,,44.3514,,,,,
FY19,CEE,Czech Republic,Exchange Server & CAL,EPG Commercial,VL Annuity Non-Recur w/o EA,,1082.6624,,,,,34895.3394,13565.1176,10637.4834,19042.1142,827.9159,1082.6654,,,,
FY19,CEE,Czech Republic,Identity & Direct Access,EPG Commercial,VL Annuity Non-Recur w/o EA,8400.5022,,,15624.0018,,,,,,,26.7158,,,,,
FY19,CEE,Czech Republic,MDOP-Client,EPG Commercial,VL Annuity Non-Recur w/o EA,,,273.7754,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Office,EPG Commercial,VL Annuity Non-Recur w/o EA,,86090.6736,,,,,,,,,956.3396,,,,,
FY19,CEE,Czech Republic,Office for Mac,EPG Commercial,VL Annuity Non-Recur w/o EA,,,,,,,,,,404.3788,,,,,,
FY19,CEE,Czech Republic,Other IW Apps,EPG Commercial,VL Annuity Non-Recur w/o EA,,,200.761,,,,,,398.3291,,,,,,,
FY19,CEE,Czech Republic,Project,EPG Commercial,VL Annuity Non-Recur w/o EA,,,,582.7116,,409.5132,,-409.5185,,,4351.5333,2449.7799,,,,
FY19,CEE,Czech Republic,SharePoint CAL,EPG Commercial,VL Annuity Non-Recur w/o EA,,,,,5591.8814,,,-2971.0837,,,,,,,,
FY19,CEE,Czech Republic,SQL Server Premium,EPG Commercial,VL Annuity Non-Recur w/o EA,-11281.8615,,,5426.6688,8099.8705,,,,67541.0165,,,,,,,
FY19,CEE,Czech Republic,SQL Server Standard & CAL,EPG Commercial,VL Annuity Non-Recur w/o EA,,12078.3957,188.9165,19157.4545,,,9964.6975,,11311.4222,3778.3223,,,,,,
FY19,CEE,Czech Republic,System Center Client,EPG Commercial,VL Annuity Non-Recur w/o EA,,12710.2038,1096.0143,,,,,,,,,,,,,
FY19,CEE,Czech Republic,System Center Server,EPG Commercial,VL Annuity Non-Recur w/o EA,,36791.7154,7691.8693,12323.1858,20517.5069,,16261.8929,33604.7906,,,,,,,,
FY19,CEE,Czech Republic,Visio,EPG Commercial,VL Annuity Non-Recur w/o EA,,276.2775,,1708.5408,,4414.2375,,-3015.5199,3767.5676,,,586.547,,,,
FY19,CEE,Czech Republic,Windows Client,EPG Commercial,VL Annuity Non-Recur w/o EA,909.7576,29499.7116,12215.7934,5196.206,6505.4873,16406.9163,,20539.3266,4173.3294,18054.3798,6739.4516,20089.2661,,,,
FY19,CEE,Czech Republic,Windows Server & Solutions & CAL,EPG Commercial,VL Annuity Non-Recur w/o EA,,13603.1149,1343.7386,763.6461,,,10929.3897,5855.1535,4588.4969,2171.6349,357.3589,37885.8694,,,,
FY19,CEE,Czech Republic,Windows Server Other,EPG Commercial,VL Annuity Non-Recur w/o EA,,,533.8213,,,355.8232,,,177.9158,,,177.9125,,,,
FY19,CEE,Czech Republic,Windows Server Premium,EPG Commercial,VL Annuity Non-Recur w/o EA,4242.8398,,2186.0132,7484.7527,2057.414,496.3215,5757.3962,,6880.4739,25305.0462,,,,,,
FY19,CEE,Czech Republic,Biztalk Server,EPG Commercial,VL Annuity Recur w/o EA,6779.8442,,,15324.6189,,,,,,,,,,,,
FY19,CEE,Czech Republic,Developer Tools,EPG Commercial,VL Annuity Recur w/o EA,3943.0216,25208.4018,,15754.0836,,,,,,,,,,,,
FY19,CEE,Czech Republic,Dynamics CRM,EPG Commercial,VL Annuity Recur w/o EA,27637.4286,,,73440.4679,,,,45715.7649,,,,22091.1597,,,,
FY19,CEE,Czech Republic,Exchange Server & CAL,EPG Commercial,VL Annuity Recur w/o EA,158529.6362,,,16282.9782,2861.3724,,,,,,,11465.5861,,,,
FY19,CEE,Czech Republic,Identity & Direct Access,EPG Commercial,VL Annuity Recur w/o EA,1358.5714,,,3310.2754,784.308,,,,,,,,,,,
FY19,CEE,Czech Republic,IW CAL Suites - Core CAL,EPG Commercial,VL Annuity Recur w/o EA,,,,,,,,,,,,12190.4453,,,,
FY19,CEE,Czech Republic,IW CAL Suites - ECAL,EPG Commercial,VL Annuity Recur w/o EA,,,,,,,,,,,,15160.1196,,,,
FY19,CEE,Czech Republic,Lync Server & CAL,EPG Commercial,VL Annuity Recur w/o EA,,,,5326.7733,,,,,,,,,,,,
FY19,CEE,Czech Republic,MDOP-Client,EPG Commercial,VL Annuity Recur w/o EA,,,,,,,,,,,,376.3195,,,,
FY19,CEE,Czech Republic,Office,EPG Commercial,VL Annuity Recur w/o EA,109437.9826,,,,,,,,,,,43668.8563,,,,
FY19,CEE,Czech Republic,Office for Mac,EPG Commercial,VL Annuity Recur w/o EA,79.8961,,,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Other IW Apps,EPG Commercial,VL Annuity Recur w/o EA,,,,147.166,,,,,,,,,,,,
FY19,CEE,Czech Republic,Project,EPG Commercial,VL Annuity Recur w/o EA,23884.1039,,,25695.3456,,,,,,,,154.4575,,,,
FY19,CEE,Czech Republic,S&T CAL Suites - Core CAL,EPG Commercial,VL Annuity Recur w/o EA,,,,,,,,,,,,6857.1255,,,,
FY19,CEE,Czech Republic,S&T CAL Suites - ECAL,EPG Commercial,VL Annuity Recur w/o EA,,,,,,,,,,,,5376.4824,,,,
FY19,CEE,Czech Republic,SharePoint CAL,EPG Commercial,VL Annuity Recur w/o EA,,,,47.8774,,,,,,,,228.4768,,,,
FY19,CEE,Czech Republic,SharePoint Server,EPG Commercial,VL Annuity Recur w/o EA,,,,2828.9495,,,,,,,,,,,,
FY19,CEE,Czech Republic,SQL Server Premium,EPG Commercial,VL Annuity Recur w/o EA,18007.2554,,,43850.0418,,,,,,,,,,,,
FY19,CEE,Czech Republic,SQL Server Standard & CAL,EPG Commercial,VL Annuity Recur w/o EA,35814.8052,,,26394.3853,,,,,,,,,,,,
FY19,CEE,Czech Republic,System Center Client,EPG Commercial,VL Annuity Recur w/o EA,,,,,,,,,,,,1605.2327,,,,
FY19,CEE,Czech Republic,System Center Server,EPG Commercial,VL Annuity Recur w/o EA,17139.7057,,,6786.5018,,,,,,,,,,,,
FY19,CEE,Czech Republic,Visio,EPG Commercial,VL Annuity Recur w/o EA,20159.5324,,,10035.1746,,,,,,,,47.9059,,,,
FY19,CEE,Czech Republic,Windows Client,EPG Commercial,VL Annuity Recur w/o EA,16750.6408,8360.3549,,,,,,,,,,15639.2875,,,,
FY19,CEE,Czech Republic,Windows Server & Solutions & CAL,EPG Commercial,VL Annuity Recur w/o EA,131945.7664,12488.6142,,65226.4517,1311.8337,,355.6882,,,,,5526.4001,,,,
FY19,CEE,Czech Republic,Windows Server Other,EPG Commercial,VL Annuity Recur w/o EA,16561.4545,16493.4038,,30457.5587,,,,,,,,,,,,
FY19,CEE,Czech Republic,Windows Server Premium,EPG Commercial,VL Annuity Recur w/o EA,18573.593,14080.2469,,14795.0925,7052.7834,,,,,,,,,,,
FY19,CEE,Czech Republic,Biztalk Server,EPG Commercial,VL Non-Annuity,,,,,,,,55170.929,,,,,,,,
FY19,CEE,Czech Republic,Developer Tools,EPG Commercial,VL Non-Annuity,,,99.206,,422.753,,,,,845.5054,,,,,,
FY19,CEE,Czech Republic,Exchange Server & CAL,EPG Commercial,VL Non-Annuity,182.2476,45.5642,4499.9504,14693.6193,,45.5632,,45.561,3240.0507,273.3716,364.4923,27005.5249,,,,
FY19,CEE,Czech Republic,Lync Server & CAL,EPG Commercial,VL Non-Annuity,,,,,,,,15191.9613,,,,,,,,
FY19,CEE,Czech Republic,Office,EPG Commercial,VL Non-Annuity,21961.4078,26245.2555,33349.4488,13093.5589,18850.235,35592.0257,14763.3392,22034.9095,6169.7256,3613.5425,8593.609,143932.6791,,,,
FY19,CEE,Czech Republic,Office for Mac,EPG Commercial,VL Non-Annuity,,,,290.0484,1160.2078,,1175.1966,1101.748,381.7665,,,,,,,
FY19,CEE,Czech Republic,Other IW Apps,EPG Commercial,VL Non-Annuity,190.9974,386.3125,,257.5472,314.168,,,300.8048,,,831.2416,,,,,
FY19,CEE,Czech Republic,Project,EPG Commercial,VL Non-Annuity,738.1552,29355.2205,846.9942,4014.1344,882.4235,2470.5299,846.9832,1715.311,2630.8112,875.2482,1941.1595,1659.41,,,,
FY19,CEE,Czech Republic,SharePoint CAL,EPG Commercial,VL Non-Annuity,,,,,,,,,,,1066.3789,,,,,
FY19,CEE,Czech Republic,SharePoint Server,EPG Commercial,VL Non-Annuity,,,,,,,,,,,3718.8221,,,,,
FY19,CEE,Czech Republic,SQL Server Premium,EPG Commercial,VL Non-Annuity,,59332.0531,,,,,,115784.7566,-115784.7572,,,,,,,
FY19,CEE,Czech Republic,SQL Server Standard & CAL,EPG Commercial,VL Non-Annuity,,13393.4646,8262.9942,,128.5194,10267.2915,6039.1847,,,856.8024,1169.0336,8944.5892,,,,
FY19,CEE,Czech Republic,Visio,EPG Commercial,VL Non-Annuity,1124.0869,2092.3138,2285.1463,1508.3857,1498.9812,5126.1025,-666.2601,9345.6624,1390.1376,2262.0066,1220.434,478.6657,,,,
FY19,CEE,Czech Republic,Windows Client,EPG Commercial,VL Non-Annuity,,,10.4301,,,,,184.5451,,,,,,,,
FY19,CEE,Czech Republic,Windows Server & Solutions & CAL,EPG Commercial,VL Non-Annuity,78.7602,508.3641,,488.6793,,759.4326,1043.9337,19.6866,709.0914,118.1356,157.5202,11537.5686,,,,
FY19,CEE,Czech Republic,Windows Server Other,EPG Commercial,VL Non-Annuity,355.7403,,,,1558.872,355.738,,,,,,355.7424,,,,
FY19,CEE,Czech Republic,Windows Server Premium,EPG Commercial,VL Non-Annuity,,9720.7484,,,2418.0348,3176.4059,,,,,,14997.0216,,,,
FY19,CEE,Czech Republic,Biztalk Server,EPG Public Sector,EA Add-On,,,,,,,,,26536.86,,,128.725,,,,
FY19,CEE,Czech Republic,Developer Tools,EPG Public Sector,EA Add-On,11235.3853,677.9785,3884.2846,3968.154,1397.9639,7924.3149,26947.6325,,312.1971,,7104.4793,22352.731,,,,
FY19,CEE,Czech Republic,Dynamics CRM,EPG Public Sector,EA Add-On,6331.1948,11592.841,210473.8628,3160.5036,,527.4707,,,,,,,,,,
FY19,CEE,Czech Republic,Exchange Server & CAL,EPG Public Sector,EA Add-On,35818.2597,,33256.0464,9543.015,-1235.2765,,,5920.7501,,530.6322,2153.1993,12496.5091,,,,
FY19,CEE,Czech Republic,Identity & Direct Access,EPG Public Sector,EA Add-On,8642.4675,,3192.6964,40296.2801,,44019.5753,1965.8617,17082.74,,8570.1553,,1419.7956,,,,
FY19,CEE,Czech Republic,IW CAL Suites - Core CAL,EPG Public Sector,EA Add-On,12870.4332,1419.532,65873.3062,29680.7654,2195.0604,1056.8828,2113.7632,3821.0346,2195.0635,3089.3429,7560.767,114510.4056,,,,
FY19,CEE,Czech Republic,IW CAL Suites - ECAL,EPG Public Sector,EA Add-On,,,,30266.34,,,,,,19105.6272,,45639.1567,,,,
FY19,CEE,Czech Republic,Lync Server & CAL,EPG Public Sector,EA Add-On,530.632,,,11674.383,-5837.1916,,,,,,,4005.0072,,,,
FY19,CEE,Czech Republic,MDOP-Client,EPG Public Sector,EA Add-On,45.8632,,310.5641,562.5149,-310.5647,,,2438.1,180.5996,,240.8007,2953.6986,,,,
FY19,CEE,Czech Republic,Office,EPG Public Sector,EA Add-On,,,153570.1402,59788.7594,,,,,,37846.4184,,554047.9116,,,,
FY19,CEE,Czech Republic,Office 365,EPG Public Sector,EA Add-On,,,,,,,,,,,,3203.4059,,,,
FY19,CEE,Czech Republic,OSD Subs & Trans OSD SMSG,EPG Public Sector,EA Add-On,,,,,,,,12384.7967,,,,,,,,
FY19,CEE,Czech Republic,Project,EPG Public Sector,EA Add-On,1260.7187,1861.1406,22424.4002,744.4416,744.4424,45043.6176,372.2155,,2233.3116,1488.8738,1488.8576,180236.0385,,,,
FY19,CEE,Czech Republic,S&T CAL Suites - Core CAL,EPG Public Sector,EA Add-On,7239.6187,798.4867,37053.7347,16695.4305,1234.7215,594.4966,1188.9918,2149.3319,1234.7232,1737.7554,4252.9315,64412.1032,,,,
FY19,CEE,Czech Republic,S&T CAL Suites - ECAL,EPG Public Sector,EA Add-On,,,,14413.8194,,,,,,9098.7235,,21734.5095,,,,
FY19,CEE,Czech Republic,SharePoint CAL,EPG Public Sector,EA Add-On,,,,10716.3896,-5358.1888,,,,,,,746.0031,,,,
FY19,CEE,Czech Republic,SharePoint Server,EPG Public Sector,EA Add-On,4300.5368,,17202.134,32450.5061,-12901.601,20824.2752,20152.8205,3694.5262,,6717.6034,,30340.3905,,,,
FY19,CEE,Czech Republic,SQL Azure,EPG Public Sector,EA Add-On,,,,,,,,,,,,1287.2496,,,,
FY19,CEE,Czech Republic,SQL Server Premium,EPG Public Sector,EA Add-On,,,,,,,,12886.7307,107586.5512,,322772.694,95373.3442,,,,
FY19,CEE,Czech Republic,SQL Server Standard & CAL,EPG Public Sector,EA Add-On,1566.5195,,58727.4855,237939.9681,-118942.9649,2018.7787,4302.3759,1345.8482,164514.8988,52584.1404,,27833.0219,,,,
FY19,CEE,Czech Republic,System Center Client,EPG Public Sector,EA Add-On,183.4528,,19700.6931,2250.0592,-1242.259,19.7336,,9752.4002,919.7335,118.5397,963.2028,11847.9259,,,,
FY19,CEE,Czech Republic,System Center Server,EPG Public Sector,EA Add-On,12691.8961,,1389.6692,4627.7907,,1005.6518,,,21082.142,10672.2594,2352.8451,17015.5641,,,,
FY19,CEE,Czech Republic,Visio,EPG Public Sector,EA Add-On,876.251,4239.1552,54299.9339,57826.4611,3894.2497,2794.4704,3177.5591,416.0175,7256.7579,1715.5138,2094.3108,64557.4748,,,,
FY19,CEE,Czech Republic,Windows Azure,EPG Public Sector,EA Add-On,,,,,,,,,,,,5020.2736,,,,
FY19,CEE,Czech Republic,Windows Client,EPG Public Sector,EA Add-On,,,151752.3722,46337.9335,,,,,,11955.2177,,212592.1701,,,,
FY19,CEE,Czech Republic,Windows Server & Solutions & CAL,EPG Public Sector,EA Add-On,6195.7663,1899.9093,2533.2092,2720.3085,3808.4277,544.0595,1632.1791,3082.9782,1088.129,37176.8647,4315.8748,136954.5366,,,,
FY19,CEE,Czech Republic,Windows Server Other,EPG Public Sector,EA Add-On,,6188.7348,64430.5541,12237.2922,,4827.828,38717.2204,-45.8895,,6745.8926,3016.6531,11096.9951,,,,
FY19,CEE,Czech Republic,Windows Server Premium,EPG Public Sector,EA Add-On,,1767.8769,66306.8155,102157.4235,14426.8866,2769.5271,,5303.637,31231.0154,18107.3887,17612.1223,251004.6207,,,,
FY19,CEE,Czech Republic,Biztalk Server,EPG Public Sector,EA New,,,3942.6551,,,,,,418952.5375,,,,,,,
FY19,CEE,Czech Republic,Developer Tools,EPG Public Sector,EA New,,,2284.8636,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Exchange Server & CAL,EPG Public Sector,EA New,,,9325.1117,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Identity & Direct Access,EPG Public Sector,EA New,,,200.2316,,,,,,,,,,,,,
FY19,CEE,Czech Republic,MDOP-Client,EPG Public Sector,EA New,-8076.4987,,,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Office,EPG Public Sector,EA New,,,108012.4483,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Project,EPG Public Sector,EA New,,,8913.5236,,,,,,,,,,,,,
FY19,CEE,Czech Republic,SharePoint CAL,EPG Public Sector,EA New,,,13551.8528,,,,,,,,,,,,,
FY19,CEE,Czech Republic,SharePoint Server,EPG Public Sector,EA New,,,752.5145,,,,,,,,,,,,,
FY19,CEE,Czech Republic,SQL Server Premium,EPG Public Sector,EA New,,,42242.5641,,,,,,516866.2969,,,,,,,
FY19,CEE,Czech Republic,SQL Server Standard & CAL,EPG Public Sector,EA New,,,10078.6105,,,,,,39886.2216,,,,,,,
FY19,CEE,Czech Republic,System Center Client,EPG Public Sector,EA New,-32305.9948,,6571.5633,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Visio,EPG Public Sector,EA New,,,6905.3598,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Windows Client,EPG Public Sector,EA New,-63941.9411,,31982.2994,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Windows Server & Solutions & CAL,EPG Public Sector,EA New,,,6308.9247,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Windows Server Other,EPG Public Sector,EA New,,,3242.7461,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Windows Server Premium,EPG Public Sector,EA New,,,12059.115,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Biztalk Server,EPG Public Sector,EA Recurring,10168.1819,,,72783.1157,,,,,,,,3942.6576,,,,
FY19,CEE,Czech Republic,Developer Tools,EPG Public Sector,EA Recurring,111288.7185,,,295338.9511,,,,,,1245.7997,,4040.3603,,,,
FY19,CEE,Czech Republic,Dynamics CRM,EPG Public Sector,EA Recurring,50564.4935,,,39833.186,,,,,,5666.0797,,,,,,
FY19,CEE,Czech Republic,Exchange Server & CAL,EPG Public Sector,EA Recurring,167173.0476,,63449.2225,377698.5556,,,,,,44041.8207,,15598.2401,,,,
FY19,CEE,Czech Republic,Forefront Protection,EPG Public Sector,EA Recurring,62.1558,,,,,,,,,14345.0697,,,,,,
FY19,CEE,Czech Republic,Identity & Direct Access,EPG Public Sector,EA Recurring,28623.238,,,18700.9231,,,,,,6100.2372,,218.4301,,,,
FY19,CEE,Czech Republic,IW CAL Suites - Core CAL,EPG Public Sector,EA Recurring,109995.104,,,664669.904,7672.3333,,,,,1408.943,,95956.0051,,,,
FY19,CEE,Czech Republic,IW CAL Suites - ECAL,EPG Public Sector,EA Recurring,73237.3014,,,165798.3684,26214.5534,,,,,4813.1633,,,,,,
FY19,CEE,Czech Republic,Lync Server & CAL,EPG Public Sector,EA Recurring,10921.8701,,,97714.0479,,,,,,18457.5826,,,,,,
FY19,CEE,Czech Republic,MDOP-Client,EPG Public Sector,EA Recurring,6091.7461,,486.8156,1370.8791,417.9263,,,,,1093.8599,,8076.4993,,,,
FY19,CEE,Czech Republic,Office,EPG Public Sector,EA Recurring,1299118.328,,526225.6328,2132548.999,31544.6221,,,,,147298.9937,,455236.4919,,,,
FY19,CEE,Czech Republic,Office 365,EPG Public Sector,EA Recurring,46872,,,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Other IW Apps,EPG Public Sector,EA Recurring,1741.5758,,,,,,,,,,,,,,,
FY19,CEE,Czech Republic,Project,EPG Public Sector,EA Recurring,144658.9004,,,208225.0216,,,,,,,,8913.5199,,,,
FY19,CEE,Czech Republic,S&T CAL Suites - Core CAL,EPG Public Sector,EA Recurring,61891.4734,,,373876.8209,4315.6875,,,,,792.5304,,53975.2529,,,,
FY19,CEE,Czech Republic,S&T CAL Suites - ECAL,EPG Public Sector,EA Recurring,25973.348,,,71730.6219,9296.8979,,,,,1706.9712,,,,,,
FY19,CEE,Czech Republic,SharePoint CAL,EPG Public Sector,EA Recurring,153949.1429,,67596.799,85249.193,,,,,,16767.508,,13611.9866,,,,
FY19,CEE,Czech Republic,SharePoint for Internet Sites,EPG Public Sector,EA Recurring,139036.0779,,,27594.4568,,,,,,,,,,,,
FY19,CEE,Czech Republic,SharePoint Server,EPG Public Sector,EA Recurring,23492.5022,,,37567.3866,,,,,,2861.1237,,820.9291,,,,
FY19,CEE,Czech Republic,SQL Server Premium,EPG Public Sector,EA Recurring,170022.8311,,,453698.8604,,,,,,86978.2012,,78902.6405,,,,
FY19,CEE,Czech Republic,SQL Server Standard & CAL,EPG Public Sector,EA Recurring,319117.515,,,611245.997,,,,,,173157.1032,,11074.5027,,,,
FY19,CEE,Czech Republic,System Center Client,EPG Public Sector,EA Recurring,106614.0848,,1947.2622,168321.7083,1673.0983,,,,80.0378,18683.7612,,39556.3129,,,,
FY19,CEE,Czech Republic,System Center Server,EPG Public Sector,EA Recurring,47773.7374,,,85670.7768,,,,,4428.7152,,,12401.0992,,,,
FY19,CEE,Czech Republic,Visio,EPG Public Sector,EA Recurring,82369.1083,,,114197.5932,,,,,,517.887,,6905.361,,,,
FY19,CEE,Czech Republic,Windows Client,EPG Public Sector,EA Recurring,599081.496,,,1334245.338,11839.8523,,,,,45764.4626,,380865.9272,,,,
FY19,CEE,Czech Republic,Windows Server & Solutions & CAL,EPG Public Sector,EA Recurring,314843.1084,,,579231.1076,,,,,,9826.218,,6737.1445,,,,
FY19,CEE,Czech Republic,Windows Server Other,EPG Public Sector,EA Recurring,102898.632,,,402494.8063,,,,,,11805.2886,,3536.7475,,,,
FY19,CEE,Czech Republic,Windows Server Premium,EPG Public Sector,EA Recurring,143274.6639,,,349952.5688,,,,,11147.026,36584.0218,,39493.2462,,,,
FY19,CEE,Czech Republic,Biztalk Server,EPG Public Sector,EA Renewal,,,,,,,,,16163.1735,,,,,,,
FY19,CEE,Czech Republic,SharePoint Server,EPG Public Sector,EA Renewal,,,,,,,,,1800.0848,,,,,,,
FY19,CEE,Czech Republic,SQL Server Premium,EPG Public Sector,EA Renewal,,,,,,,,,85447.2964,,,,,,,
FY19,CEE,Czech Republic,SQL Server Standard & CAL,EPG Public Sector,EA Renewal,,,,,,,,,99537.7175,,,,,,,
FY19,CEE,Czech Republic,Exchange Server & CAL,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,232.1531,,,,
FY19,CEE,Czech Republic,IW CAL Suites - Core CAL,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,213032.9646,,,,
FY19,CEE,Czech Republic,MDOP-Client,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,4736.6092,,,,
FY19,CEE,Czech Republic,Office,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,388808.0147,,,,
FY19,CEE,Czech Republic,S&T CAL Suites - Core CAL,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,119831.0426,,,,
FY19,CEE,Czech Republic,System Center Client,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,18901.1098,,,,
FY19,CEE,Czech Republic,Windows Client,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,202994.2938,,,,
FY19,CEE,Czech Republic,Windows Server & Solutions & CAL,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,662.4545,,,,
FY19,CEE,Czech Republic,Windows Server Other,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,133145.5589,,,,
FY19,CEE,Czech Republic,Windows Server Premium,EPG Public Sector,EA Subscription Non Recurring,,,,,,,,,,,,38944.2538,,,,
FY19,CEE,Czech Republic,Office 365,EPG Public Sector,Online Services,,,,,,3052.3519,3318.8588,3458.2461,2968.6354,3375.5783,3453.0924,3490.5793,,,,
FY19,CEE,Czech Republic,SQL Azure,EPG Public Sector,Online Services,21.1429,21.5069,21.8528,21.1499,17.9053,17.3205,17.9033,17.9031,12.8504,13.4299,12.9878,13.4294,,,,
FY19,CEE,Czech Republic,Windows Intune - Client,EPG Public Sector,Online Services,,,,,,632.3633,632.3638,-221.8995,366.5814,366.5794,366.5821,366.5822,,,,
FY19,CEE,Czech Republic,Windows Intune - Server and Tools,EPG Public Sector,Online Services,,,,,,772.8885,772.8891,-271.2105,448.0439,448.0415,448.0448,448.0449,,,,
